,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Gabrielle Cooper,3,8,0,1,3,7,0,0,1,1,1,1,0,1,0,9,0.0,1.0
1,Alexis Peterson,10,22,7,16,3,6,2,2,1,4,4,2,0,5,0,25,0.09090909090909091,0.8
2,Briana Day,6,11,6,11,0,0,1,2,5,1,0,2,0,0,2,13,0.09090909090909091,0.0
3,Brittney Sykes,6,15,4,10,2,5,1,1,0,2,1,0,0,2,4,15,0.06666666666666667,0.5
4,Isabella Slim,0,1,0,0,0,1,0,0,0,2,1,0,0,0,5,0,0.0,0.0
10,School Totals,26,60,18,40,8,20,4,5,7,14,8,5,0,9,15,64,0.06666666666666667,0.8888888888888888
