,Wright State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Mackenzie Taylor,4,15,2,7,2,8,0,0,0,6,2,1,0,4,4,10,0.0,0.5
1,Symone Simmons,3,8,2,6,1,2,0,0,9,4,3,1,1,0,4,7,0.0,0.0
2,Emily Vogelpohl,1,7,1,7,0,0,0,0,2,0,0,0,0,1,2,2,0.0,0.0
3,Michal Miller,5,15,4,8,1,7,1,1,1,0,0,1,0,2,4,12,0.06666666666666667,0.0
4,Tyler Frierson,1,3,1,3,0,0,2,4,3,5,0,1,0,1,5,4,0.6666666666666666,0.0
11,School Totals,24,80,16,50,8,30,5,7,17,21,10,6,1,11,25,61,0.0625,0.9090909090909091
