,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Hrynko,5,11,3,8,2,3,3,6,0,6,3,3,0,8,0,15,0.2727272727272727,0.375
1,Katherine Harry,5,12,5,12,0,0,2,4,2,7,2,1,0,2,2,12,0.16666666666666666,1.0
2,Deanna Ortiz,1,7,0,1,1,6,0,0,0,4,0,4,2,0,2,3,0.0,0.0
3,Anna Martin,8,12,8,11,0,1,1,2,2,4,1,2,0,2,3,17,0.08333333333333333,0.5
4,Jasmine Penny,4,10,4,10,0,0,4,5,1,0,1,4,1,2,3,12,0.4,0.5
7,School Totals,23,54,20,43,3,11,10,17,5,21,7,14,3,15,11,59,0.18518518518518517,0.4666666666666667
