,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Klarissa Bell,6,11,6,9,0,2,0,0,4,3,4,0,0,0,2,12,0.0,0.0
1,Taylor Alton,2,8,2,4,0,4,0,0,0,8,2,0,0,3,2,4,0.0,0.6666666666666666
2,Porsche Poole,3,10,2,6,1,4,1,4,1,0,1,0,0,3,1,8,0.1,0.3333333333333333
3,Kiana Johnson,2,6,2,4,0,2,0,0,0,1,3,0,0,4,1,4,0.0,0.75
4,Lykendra Johnson,2,7,2,6,0,1,1,2,1,2,1,2,2,1,5,5,0.14285714285714285,1.0
10,School Totals,25,61,22,45,3,16,2,6,10,19,14,7,3,14,17,55,0.03278688524590164,1.0
