,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Becky Burke,3,10,1,4,2,6,6,6,1,3,3,3,0,2,0,14,0.6,1.5
1,Shoni Schimmel,3,13,1,6,2,7,0,0,1,5,6,1,1,4,1,8,0.0,1.5
2,Bria Smith,4,7,4,7,0,0,2,2,2,4,4,3,0,2,2,10,0.2857142857142857,2.0
3,Asia Taylor,5,5,5,5,0,0,0,0,1,1,1,0,0,0,4,10,0.0,0.0
4,Sheronne Vails,1,4,1,4,0,0,0,0,0,2,0,2,2,0,1,2,0.0,0.0
10,School Totals,24,59,20,44,4,15,15,19,14,23,15,9,4,12,9,67,0.2542372881355932,1.25
