,Creighton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Lamberty,6,9,4,6,2,3,2,2,0,6,3,2,0,3,0,16,0.2222222222222222,1.0
1,Lauren Works,3,6,1,2,2,4,0,0,0,3,3,1,0,1,4,8,0.0,3.0
2,Marissa Janning,7,14,4,8,3,6,2,2,3,3,4,2,1,1,3,19,0.14285714285714285,4.0
3,Audrey Faber,2,6,1,3,1,3,4,4,0,2,0,0,1,0,2,9,0.6666666666666666,0.0
4,Brianna Rollerson,2,4,2,4,0,0,1,4,1,3,1,0,3,2,1,5,0.25,0.5
10,School Totals,26,55,16,32,10,23,14,19,8,30,15,7,6,11,19,76,0.2545454545454545,1.3636363636363635
