,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Elizabeth Williams,8,13,8,13,0,0,2,2,3,6,2,1,0,3,2,18,0.15384615384615385,0.6666666666666666
1,Rebecca Greenwell,2,7,1,3,1,4,0,0,0,4,1,3,0,2,1,5,0.0,0.5
2,Ka'lia Johnson,4,8,2,5,2,3,5,5,0,2,2,3,0,2,3,15,0.625,1.0
3,Azura Stevens,5,15,5,13,0,2,1,1,2,1,1,1,1,2,1,11,0.06666666666666667,0.5
4,Amber Henson,1,4,1,4,0,0,0,0,1,1,1,0,0,2,3,2,0.0,0.5
7,School Totals,21,50,18,41,3,9,10,10,6,17,8,8,1,13,15,55,0.2,0.6153846153846154
