,Chattanooga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Christopher,5,11,1,3,4,8,1,2,3,6,2,0,0,3,2,15,0.09090909090909091,0.6666666666666666
1,Shanara Hollinquest,6,13,6,12,0,1,2,5,3,8,3,0,0,5,4,14,0.15384615384615385,0.6
2,Michelle Davis,3,11,1,3,2,8,0,0,2,3,0,2,1,2,1,8,0.0,0.0
3,Kylie Lambert,2,4,2,2,0,2,0,0,1,3,0,0,0,0,2,4,0.0,0.0
4,Erin Helton,1,2,0,1,1,1,2,2,0,1,0,0,0,2,0,5,1.0,0.0
7,School Totals,23,60,13,26,10,34,7,11,10,30,12,4,1,23,17,63,0.11666666666666667,0.5217391304347826
