,Oklahoma State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tegan Cunningham,9,25,9,20,0,5,7,10,4,5,1,3,0,4,3,25,0.28,0.25
1,Toni Young,9,14,9,14,0,0,4,4,2,3,1,1,0,1,2,22,0.2857142857142857,1.0
2,Ally Clardy,0,6,0,2,0,4,0,1,1,3,10,3,1,1,1,0,0.0,10.0
3,Lakyn Garrison,0,3,0,0,0,3,1,2,0,2,2,1,0,1,0,1,0.3333333333333333,2.0
4,Megan Byford,3,3,3,3,0,0,2,2,1,2,1,0,0,0,2,8,0.6666666666666666,0.0
10,School Totals,27,70,27,55,0,15,16,23,13,23,19,13,3,10,14,70,0.22857142857142856,1.9
