,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taya Corosdale,3,7,0,1,3,6,2,2,1,5,0,0,1,2,2,11,0.2857142857142857,0.0
1,Kat Tudor,2,6,1,2,1,4,2,2,0,2,0,0,0,2,1,7,0.3333333333333333,0.0
2,Katie McWilliams,1,6,0,4,1,2,0,0,0,4,4,0,0,3,0,3,0.0,1.3333333333333333
3,Marie Gulich,6,11,6,11,0,0,2,4,4,4,2,0,0,7,5,14,0.18181818181818182,0.2857142857142857
4,Mikayla Pivec,2,6,2,6,0,0,1,2,1,3,3,0,0,1,2,5,0.16666666666666666,3.0
10,School Totals,15,43,10,30,5,13,8,12,6,25,10,0,2,16,14,43,0.18604651162790697,0.625
