,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Diamond DeShields,8,14,8,13,0,1,8,10,1,4,5,2,0,1,2,24,0.5714285714285714,5.0
1,Jordan Reynolds,1,6,1,5,0,1,1,2,0,1,3,2,1,0,0,3,0.16666666666666666,0.0
2,Mercedes Russell,4,8,4,8,0,0,6,8,1,9,1,1,1,2,1,14,0.75,0.5
3,Alexa Middleton,0,2,0,2,0,0,1,2,0,3,0,0,0,0,2,1,0.5,0.0
4,Jaime Nared,2,8,2,6,0,2,4,6,1,6,0,0,0,1,4,8,0.5,0.0
8,School Totals,22,52,22,47,0,5,22,33,10,32,9,6,4,9,12,66,0.4230769230769231,1.0
