,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Ward,1,8,0,3,1,5,0,1,0,3,6,0,0,5,1,3,0.0,1.2
1,Jacinta Monroe,6,14,6,14,0,0,3,4,4,4,1,0,2,1,5,15,0.21428571428571427,1.0
2,Alysha Harvin,3,11,2,6,1,5,3,4,1,2,1,0,0,1,2,10,0.2727272727272727,1.0
3,Angel Gray,0,3,0,2,0,1,0,0,2,2,0,0,0,1,3,0,0.0,0.0
4,Chasity Clayton,2,6,2,6,0,0,0,0,0,1,0,1,0,2,2,4,0.0,0.0
9,School Totals,18,63,14,49,4,14,10,15,11,16,10,2,3,17,17,50,0.15873015873015872,0.5882352941176471
