,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Caroline Doty,1,7,0,4,1,3,2,2,0,1,1,2,1,4,1,5,0.2857142857142857,0.25
1,Kalana Greene,6,6,5,5,1,1,2,2,0,6,2,0,2,1,1,15,0.3333333333333333,2.0
2,Tiffany Hayes,5,11,4,7,1,4,2,2,1,4,7,2,0,1,1,13,0.18181818181818182,7.0
3,Tina Charles,8,16,8,16,0,0,4,8,5,9,3,0,4,4,1,20,0.25,0.75
4,Maya Moore,8,13,6,10,2,3,4,5,3,5,1,0,1,1,2,22,0.3076923076923077,1.0
11,School Totals,32,60,26,48,6,12,20,25,12,28,23,7,8,17,16,90,0.3333333333333333,1.3529411764705883
