,Green Bay ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Tetschlag,10,16,10,16,0,0,4,5,4,7,2,0,0,5,3,24,0.25,0.4
1,Julie Wojta,6,17,5,15,1,2,1,2,2,3,4,1,1,3,1,14,0.058823529411764705,1.3333333333333333
2,Sarah Eichler,3,8,2,5,1,3,2,2,1,2,3,1,1,1,1,9,0.25,3.0
3,Celeste Hoewisch,2,7,1,3,1,4,1,2,0,3,2,1,0,6,3,6,0.14285714285714285,0.3333333333333333
4,Hannah Quilling,0,2,0,2,0,0,0,0,1,0,3,2,0,1,2,0,0.0,3.0
7,School Totals,23,54,18,42,5,12,8,12,9,21,18,6,2,17,10,59,0.14814814814814814,1.0588235294117647
