,Little Rock ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Asriel Rolfe,2,8,2,4,0,4,1,2,0,2,4,3,0,5,4,5,0.125,0.8
1,Chastity Reed,11,19,9,16,2,3,0,0,1,5,2,1,0,4,4,24,0.0,0.5
2,Janette Merriex,2,8,0,1,2,7,0,0,0,5,2,0,0,0,1,6,0.0,0.0
3,Shankia Butler,1,3,1,2,0,1,0,0,1,0,5,2,1,4,5,2,0.0,1.25
4,Marian Kursh,4,6,4,6,0,0,1,1,2,7,1,1,0,2,3,9,0.16666666666666666,0.5
8,School Totals,23,51,18,34,5,17,4,6,4,22,16,7,1,16,21,55,0.0784313725490196,1.0
