,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Arike Ogunbowale,12,20,11,16,1,4,5,6,0,5,5,1,0,1,1,30,0.25,5.0
1,Jackie Young,5,10,4,6,1,4,2,2,4,3,5,0,1,1,1,13,0.2,5.0
2,Marina Mabrey,7,12,1,4,6,8,3,4,1,1,7,4,0,0,0,23,0.25,0.0
3,Jessica Shepard,12,20,12,20,0,0,0,2,4,6,7,2,0,0,0,24,0.0,0.0
4,Kathryn Westbeld,0,3,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
10,School Totals,40,73,31,56,9,17,10,14,12,18,28,12,1,8,7,99,0.136986301369863,3.5
