,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nicki Ekhomu,5,15,5,10,0,5,5,7,1,1,4,2,0,1,2,15,0.3333333333333333,4.0
1,Kiah Gillespie,5,17,3,11,2,6,5,6,5,6,1,0,2,2,1,17,0.29411764705882354,0.5
2,Nausia Woolfolk,7,15,6,13,1,2,0,0,2,6,1,1,0,4,4,15,0.0,0.25
3,Valencia Myers,6,8,6,8,0,0,3,4,3,3,0,0,1,2,3,15,0.375,0.0
4,Morgan Jones,2,5,2,5,0,0,2,3,5,1,1,0,0,4,4,6,0.4,0.25
8,School Totals,26,63,23,49,3,14,15,20,20,24,9,4,3,16,20,70,0.23809523809523808,0.5625
