,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kristy Wallace,4,5,2,3,2,2,2,2,0,3,6,3,1,2,1,12,0.4,3.0
1,Alexis Prince,4,7,4,6,0,1,0,0,0,2,4,1,1,1,0,8,0.0,4.0
2,Kalani Brown,9,10,9,10,0,0,3,3,3,5,1,0,3,2,2,21,0.3,0.5
3,Nina Davis,5,6,5,6,0,0,3,3,2,4,4,0,0,0,0,13,0.5,0.0
4,Dekeiya Cohen,0,1,0,1,0,0,2,2,1,3,4,0,1,0,1,2,2.0,0.0
12,School Totals,48,76,39,58,9,18,14,17,16,41,35,8,11,14,14,119,0.18421052631578946,2.5
