,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shayla Bennett,5,12,4,9,1,3,3,6,1,2,7,1,0,2,3,14,0.25,3.5
1,Paris Kea,8,20,5,13,3,7,3,3,1,1,3,0,0,2,1,22,0.15,1.5
2,Janelle Bailey,7,15,6,14,1,1,0,0,0,3,0,3,0,1,4,15,0.0,0.0
3,Taylor Koenen,4,9,3,7,1,2,4,5,1,6,3,4,2,1,2,13,0.4444444444444444,3.0
4,Jocelyn Jones,1,4,1,4,0,0,0,0,0,2,2,0,0,0,3,2,0.0,0.0
8,School Totals,27,63,19,48,8,15,10,14,4,15,16,8,2,7,16,72,0.15873015873015872,2.2857142857142856
