,Quinnipiac ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Carly Fabbri,4,6,0,0,4,6,2,2,0,2,2,2,0,1,3,14,0.3333333333333333,2.0
1,Aryn McClure,3,9,3,9,0,0,7,8,3,6,9,3,3,3,3,13,0.7777777777777778,3.0
2,Jen Fay,6,15,3,4,3,11,4,6,4,2,2,1,0,4,4,19,0.26666666666666666,0.5
3,Paula Strautmane,6,11,5,8,1,3,2,3,2,4,2,1,1,2,4,15,0.18181818181818182,1.0
4,Edel Thornton,6,15,5,6,1,9,1,2,0,1,0,0,0,0,2,14,0.06666666666666667,0.0
8,School Totals,28,61,18,30,10,31,20,25,11,18,16,8,4,11,22,86,0.32786885245901637,1.4545454545454546
