,California ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kristine Anigwe,7,16,7,16,0,0,6,7,1,10,2,1,1,11,3,20,0.375,0.18181818181818182
1,Mi'Cole Cayton,1,9,1,7,0,2,0,0,2,1,0,2,0,3,2,2,0.0,0.0
2,Mikayla Cowling,2,12,1,8,1,4,0,0,2,2,0,0,0,3,2,5,0.0,0.0
3,Penina Davidson,1,2,1,2,0,0,0,0,1,2,1,0,0,2,2,2,0.0,0.5
4,Asha Thomas,1,4,1,1,0,3,1,2,1,1,3,0,0,1,1,3,0.25,3.0
10,School Totals,17,58,14,45,3,13,9,11,7,26,9,3,1,24,16,46,0.15517241379310345,0.375
