,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Vivian Frieson,8,14,7,13,1,1,6,8,3,6,5,3,4,2,0,23,0.42857142857142855,2.5
1,Courtney Vandersloot,4,9,3,7,1,2,0,1,0,5,6,3,1,11,5,9,0.0,0.5454545454545454
2,Tiffanie Shives,3,7,0,1,3,6,2,2,0,4,1,0,0,0,4,11,0.2857142857142857,0.0
3,Heather Bowman,3,8,3,8,0,0,0,0,2,1,1,1,1,0,1,6,0.0,0.0
4,Janelle Bekkering,2,6,1,3,1,3,0,0,1,7,1,1,1,0,0,5,0.0,0.0
9,School Totals,26,59,20,47,6,12,14,18,10,26,15,11,8,17,12,72,0.23728813559322035,0.8823529411764706
