,Green Bay ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Tetschlag,9,17,7,12,2,5,7,10,6,4,1,2,0,7,4,27,0.4117647058823529,0.14285714285714285
1,Celeste Hoewisch,7,16,3,9,4,7,2,2,2,1,6,3,0,3,4,20,0.125,2.0
2,Sarah Eichler,3,9,2,5,1,4,0,0,2,2,4,0,0,1,5,7,0.0,4.0
3,Hannah Quilling,2,3,1,2,1,1,0,0,0,1,2,3,0,1,1,5,0.0,2.0
4,Julie Wojta,1,6,0,4,1,2,2,2,1,2,4,1,0,3,5,5,0.3333333333333333,1.3333333333333333
8,School Totals,25,65,13,37,12,28,14,18,15,13,20,12,2,18,21,76,0.2153846153846154,1.1111111111111112
