,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Odyssey Sims,7,12,3,5,4,7,0,2,1,2,4,3,0,8,1,18,0.0,0.5
1,Melissa Jones,2,4,1,2,1,2,1,2,1,2,7,2,0,2,2,6,0.25,3.5
2,Brittney Griner,15,21,15,21,0,0,10,10,4,6,0,0,6,1,3,40,0.47619047619047616,0.0
3,Destiny Williams,2,5,2,5,0,0,2,2,5,4,1,2,0,2,2,6,0.4,0.5
4,Jordan Madden,1,1,1,1,0,0,0,0,0,3,1,0,0,2,3,2,0.0,0.5
8,School Totals,33,56,28,46,5,10,15,21,13,20,18,9,10,18,14,86,0.26785714285714285,1.0
