,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kiara Leslie,7,14,5,11,2,3,5,6,1,10,0,3,1,4,1,21,0.35714285714285715,0.0
1,Aislinn Konig,4,11,2,4,2,7,2,2,0,1,4,0,0,2,1,12,0.18181818181818182,2.0
2,Akela Maize,3,8,3,8,0,0,5,6,4,3,3,0,1,1,5,11,0.625,3.0
3,Chelsea Nelson,5,10,5,10,0,0,0,1,1,6,0,2,0,2,3,10,0.0,0.0
4,Kaila Ealey,3,9,2,8,1,1,5,10,2,2,3,2,0,2,4,12,0.5555555555555556,1.5
10,School Totals,25,56,18,42,7,14,17,27,11,26,12,7,2,14,16,74,0.30357142857142855,0.8571428571428571
