,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Hailey Van Lith,7,21,7,15,0,6,9,10,0,3,6,1,1,2,2,23,0.42857142857142855,3.0
1,Emily Engstler,7,12,4,8,3,4,3,7,5,5,1,1,3,1,3,20,0.25,1.0
2,Chelsie Hall,4,8,3,6,1,2,0,0,2,4,4,0,0,1,2,9,0.0,4.0
3,Kianna Smith,5,15,3,6,2,9,0,0,0,2,0,4,1,2,3,12,0.0,0.0
4,Olivia Cochran,1,2,1,2,0,0,1,2,3,0,1,2,0,0,5,3,0.5,0.0
10,School Totals,28,67,21,44,7,23,13,21,12,19,15,11,8,7,20,76,0.19402985074626866,2.142857142857143
