,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dara Mabrey,11,19,4,7,7,12,0,0,1,5,3,1,0,0,0,29,0.0,0.0
1,Olivia Miles,4,9,3,5,1,4,0,2,0,7,12,3,0,2,3,9,0.0,6.0
2,Sonia Citron,7,13,7,10,0,3,11,11,2,4,3,4,0,4,1,25,0.8461538461538461,0.75
3,Maddy Westbeld,6,10,5,7,1,3,0,0,2,7,1,3,1,1,4,13,0.0,1.0
4,Maya Dodson,8,11,8,11,0,0,4,6,2,1,0,2,3,3,4,20,0.36363636363636365,0.0
10,School Totals,41,76,31,51,10,25,16,23,8,29,24,16,5,13,22,108,0.21052631578947367,1.8461538461538463
