,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Allisha Gray,7,11,6,8,1,3,2,4,2,2,3,1,1,0,4,17,0.18181818181818182,0.0
1,Stephanie Mavunga,4,13,4,13,0,0,4,8,2,7,1,0,5,4,4,12,0.3076923076923077,0.25
2,Brittany Rountree,1,1,0,0,1,1,2,2,0,5,5,1,0,3,4,5,2.0,1.6666666666666667
3,Latifah Coleman,7,11,7,9,0,2,1,4,0,3,2,2,0,2,2,15,0.09090909090909091,1.0
4,N'Dea Bryant,3,6,3,6,0,0,2,2,1,4,0,0,1,0,2,8,0.3333333333333333,0.0
9,School Totals,28,57,24,48,4,9,11,20,9,24,18,10,7,15,20,71,0.19298245614035087,1.2
