,Central Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tinara Moore,9,13,9,12,0,1,7,9,1,6,1,0,0,5,2,25,0.5384615384615384,0.2
1,Presley Hudson,4,14,2,6,2,8,2,2,0,4,8,0,0,4,2,12,0.14285714285714285,2.0
2,Cassandra Breen,3,7,1,2,2,5,0,0,0,1,0,1,0,1,2,8,0.0,0.0
3,Micaela Kelly,5,9,2,5,3,4,4,4,4,2,3,0,0,1,2,17,0.4444444444444444,3.0
4,Reyna Frost,6,11,6,10,0,1,0,0,6,6,1,1,1,0,5,12,0.0,0.0
7,School Totals,28,56,21,37,7,19,15,17,13,21,13,2,1,11,14,78,0.26785714285714285,1.1818181818181819
