,Louisiana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chloe Jackson,8,22,7,17,1,5,7,8,1,2,3,0,1,1,1,24,0.3181818181818182,3.0
1,Ayana Mitchell,7,10,7,10,0,0,2,2,7,2,0,2,0,1,2,16,0.2,0.0
2,Raigyne Louis,5,15,4,12,1,3,2,2,1,7,6,3,1,0,3,13,0.13333333333333333,0.0
3,Khayla Pointer,4,9,4,7,0,2,0,0,0,0,0,1,0,0,1,8,0.0,0.0
4,Jaelyn Richard-Harris,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0
9,School Totals,28,69,26,55,2,14,11,12,13,13,10,6,3,2,15,69,0.15942028985507245,5.0
