,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dominique Dillingham,3,8,3,7,0,1,0,1,2,5,2,3,1,2,4,6,0.0,1.0
1,Breanna Richardson,7,14,7,14,0,0,1,1,6,6,1,1,0,3,1,15,0.07142857142857142,0.3333333333333333
2,Victoria Vivians,2,14,1,7,1,7,2,2,0,4,1,0,0,1,0,7,0.14285714285714285,1.0
3,Martha Alwal,2,4,2,4,0,0,0,2,1,4,0,0,6,3,4,4,0.0,0.0
4,Jerica James,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0.0,0.5
12,School Totals,20,56,18,45,2,11,15,21,11,26,11,8,8,16,22,57,0.26785714285714285,0.6875
