,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tyra White,5,10,3,7,2,3,2,2,1,4,1,2,0,0,1,14,0.2,0.0
1,Danielle Adams,9,28,7,19,2,9,3,4,4,10,1,1,2,1,1,23,0.10714285714285714,1.0
2,Adaora Elonu,1,3,1,3,0,0,1,1,1,3,1,1,0,2,1,3,0.3333333333333333,0.5
3,Sydney Carter,2,5,0,3,2,2,0,0,1,3,6,2,0,1,3,6,0.0,6.0
4,Sydney Colson,4,6,1,2,3,4,0,0,0,3,4,0,0,1,4,11,0.0,4.0
13,School Totals,28,64,18,44,10,20,13,17,13,31,16,7,5,9,14,79,0.203125,1.7777777777777777
