,West Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tynice Martin,3,18,3,17,0,1,4,4,2,5,2,2,0,4,2,10,0.2222222222222222,0.5
1,Chania Ray,4,7,2,4,2,3,4,4,0,2,5,2,0,3,3,14,0.5714285714285714,1.6666666666666667
2,Teana Muldrow,6,14,6,12,0,2,4,5,5,3,0,1,3,5,3,16,0.2857142857142857,0.0
3,Lanay Montgomery,2,8,2,8,0,0,0,1,5,4,1,0,3,1,2,4,0.0,1.0
4,Katrina Pardee,3,8,2,6,1,2,1,2,1,2,1,0,0,1,2,8,0.125,1.0
10,School Totals,20,63,17,53,3,10,13,16,15,19,10,6,6,17,16,56,0.20634920634920634,0.5882352941176471
