,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Benzan,0,5,0,4,0,1,0,0,1,1,2,5,0,1,3,0,0.0,2.0
1,Chloe Bibby,4,13,3,6,1,7,1,2,1,2,2,1,0,1,3,10,0.07692307692307693,2.0
2,Angel Reese,7,16,6,15,1,1,10,12,5,4,1,3,3,1,4,25,0.625,1.0
3,Ashley Owusu,2,9,2,8,0,1,0,0,3,1,1,0,0,1,1,4,0.0,1.0
4,Diamond Miller,3,11,2,6,1,5,4,4,0,0,0,1,0,2,5,11,0.36363636363636365,0.0
8,School Totals,23,68,20,49,3,19,17,23,10,13,8,12,3,7,23,66,0.25,1.1428571428571428
