,Princeton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Amanda Berntsen,1,11,1,10,0,1,2,3,1,3,2,0,0,4,3,4,0.18181818181818182,0.5
1,Annie Tarakchian,7,15,4,7,3,8,3,4,3,7,1,0,0,2,3,20,0.2,0.5
2,Alex Wheatley,9,10,9,10,0,0,0,0,2,4,4,2,2,3,4,18,0.0,1.3333333333333333
3,Vanessa Smith,3,6,3,6,0,0,0,0,0,3,2,0,1,0,4,6,0.0,0.0
4,Michelle Miller,1,8,0,2,1,6,0,0,0,2,0,0,1,2,2,3,0.0,0.0
10,School Totals,26,61,21,43,5,18,8,11,7,23,11,3,5,12,23,65,0.13114754098360656,0.9166666666666666
