,West Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Bria Holmes,9,21,7,14,2,7,6,6,0,2,8,3,0,1,0,26,0.2857142857142857,8.0
1,Arielle Roberson,1,1,1,1,0,0,1,2,4,3,0,0,2,1,2,3,1.0,0.0
2,Chania Ray,3,11,1,5,2,6,1,2,0,3,1,0,1,1,1,9,0.09090909090909091,1.0
3,Lanay Montgomery,2,8,2,8,0,0,0,0,5,4,1,0,2,3,4,4,0.0,0.3333333333333333
4,Katrina Pardee,2,4,0,0,2,4,0,0,1,0,0,0,0,0,3,6,0.0,0.0
9,School Totals,24,61,18,39,6,22,20,25,11,25,14,9,8,9,15,74,0.32786885245901637,1.5555555555555556
