,West Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Liz Repella,9,14,5,9,4,5,7,9,3,1,0,0,0,2,3,29,0.5,0.0
1,Madina Ali,1,4,1,3,0,1,1,2,0,1,1,1,0,1,5,3,0.25,1.0
2,Sarah Miles,2,9,2,8,0,1,0,0,0,2,2,0,0,2,3,4,0.0,1.0
3,Asya Bussie,3,5,3,5,0,0,3,4,0,2,1,1,0,2,5,9,0.6,0.5
4,Korinne Campbell,1,6,1,4,0,2,0,0,0,3,2,0,2,3,3,2,0.0,0.6666666666666666
10,School Totals,25,60,18,43,7,17,11,17,7,16,12,6,2,15,27,68,0.18333333333333332,0.8
