,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maddy Westbeld,8,11,7,8,1,3,2,2,2,3,1,1,1,0,1,19,0.18181818181818182,0.0
1,Olivia Miles,5,9,5,7,0,2,2,3,1,10,11,0,0,6,1,12,0.2222222222222222,1.8333333333333333
2,Dara Mabrey,6,9,1,1,5,8,1,2,0,1,2,1,0,1,1,18,0.1111111111111111,2.0
3,Sonia Citron,4,7,3,5,1,2,0,0,1,4,2,1,0,1,2,9,0.0,2.0
4,Maya Dodson,6,11,6,11,0,0,6,8,2,4,0,0,2,3,2,18,0.5454545454545454,0.0
8,School Totals,34,59,27,42,7,17,14,19,12,23,18,6,3,13,12,89,0.23728813559322035,1.3846153846153846
