,Belmont ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Destinee Wells,9,22,7,16,2,6,5,5,2,0,7,3,1,0,0,25,0.22727272727272727,0.0
1,Jamilyn Kinney,3,7,1,3,2,4,0,0,0,2,2,1,0,1,0,8,0.0,2.0
2,Tuti Jones,2,9,1,4,1,5,3,4,0,4,2,4,0,1,0,8,0.3333333333333333,2.0
3,Conley Chinn,3,6,2,4,1,2,0,0,3,0,0,1,1,2,4,7,0.0,0.0
4,Allison Luly,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0.0,0.0
10,School Totals,24,58,18,38,6,20,10,12,6,10,13,11,2,6,14,64,0.1724137931034483,2.1666666666666665
