,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jaime Nared,2,6,1,4,1,2,4,5,2,9,5,1,0,4,1,9,0.6666666666666666,1.25
1,Mercedes Russell,12,16,12,16,0,0,1,3,3,12,1,0,0,5,2,25,0.0625,0.2
2,Diamond DeShields,3,14,2,10,1,4,3,4,1,4,7,1,0,2,2,10,0.21428571428571427,3.5
3,Bashaara Graves,6,9,6,9,0,0,2,2,3,6,2,1,0,1,1,14,0.2222222222222222,2.0
4,Jordan Reynolds,1,2,1,2,0,0,0,0,1,0,2,0,0,0,2,2,0.0,0.0
10,School Totals,31,62,29,55,2,7,14,18,12,33,21,4,1,17,12,78,0.22580645161290322,1.2352941176470589
