,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Andrea Hoover,5,8,4,6,1,2,15,15,3,2,5,1,0,4,2,26,1.875,1.25
1,Kelley Austria,4,9,4,7,0,2,2,2,0,3,1,1,0,3,2,10,0.2222222222222222,0.3333333333333333
2,Ally Malott,4,8,4,7,0,1,1,1,0,7,1,1,1,3,5,9,0.125,0.3333333333333333
3,Jodie Cornelie-Sigmundova,5,9,5,9,0,0,2,4,3,8,0,0,4,2,1,12,0.2222222222222222,0.0
4,Jenna Burdette,2,7,2,4,0,3,2,4,1,4,0,1,0,3,1,6,0.2857142857142857,0.0
8,School Totals,27,53,25,43,2,10,26,30,9,28,8,5,7,18,19,82,0.49056603773584906,0.4444444444444444
