,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jude Schimmel,4,23,3,14,1,9,2,3,2,2,1,1,0,4,3,11,0.08695652173913043,0.25
1,Mariya Moore,1,7,1,2,0,5,5,5,4,3,1,2,1,1,2,7,0.7142857142857143,1.0
2,Sara Hammond,1,5,1,5,0,0,1,2,1,3,2,0,0,0,3,3,0.2,0.0
3,Myisha Hines-Allen,6,11,6,11,0,0,2,2,2,2,0,1,0,1,4,14,0.18181818181818182,0.0
4,Sheronne Vails,1,3,1,3,0,0,0,0,0,0,0,1,1,0,0,2,0.0,0.0
10,School Totals,23,73,22,58,1,15,19,23,20,16,11,10,2,9,24,66,0.2602739726027397,1.2222222222222223
