,Virginia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Elizabeth Kitley,11,19,11,19,0,0,1,1,2,6,4,1,3,1,3,23,0.05263157894736842,4.0
1,Georgia Amoore,4,13,3,6,1,7,4,4,1,3,5,1,0,3,3,13,0.3076923076923077,1.6666666666666667
2,Cayla King,1,4,0,1,1,3,2,2,2,3,2,1,0,1,2,5,0.5,2.0
3,Aisha Sheppard,2,7,2,5,0,2,3,4,0,2,2,1,0,5,2,7,0.42857142857142855,0.4
4,Azana Baines,6,10,6,10,0,0,3,4,4,3,2,1,0,2,2,15,0.3,1.0
7,School Totals,26,60,22,43,4,17,14,17,9,22,17,6,3,12,13,70,0.23333333333333334,1.4166666666666667
