,Marquette ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Selena Lott,7,10,6,9,1,1,2,3,0,6,5,3,0,4,4,17,0.2,1.25
1,Lauren Van Kleunen,8,14,6,10,2,4,0,0,2,4,1,2,0,4,3,18,0.0,0.25
2,Jordan King,3,7,3,3,0,4,2,3,0,6,5,0,0,1,5,8,0.2857142857142857,5.0
3,Chloe Marotta,1,4,1,4,0,0,0,0,1,7,4,0,0,3,0,2,0.0,1.3333333333333333
4,Camryn Taylor,6,14,6,14,0,0,3,5,1,1,1,0,0,2,5,15,0.21428571428571427,0.5
8,School Totals,26,54,22,42,4,12,7,11,4,24,17,5,0,14,17,63,0.12962962962962962,1.2142857142857142
