,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taryn McCutcheon,4,9,0,1,4,8,0,0,0,0,2,2,0,0,2,12,0.0,0.0
1,Nia Clouden,5,13,4,10,1,3,5,5,2,3,7,0,0,2,2,16,0.38461538461538464,3.5
2,Shay Colley,6,16,5,13,1,3,0,0,1,6,6,2,0,2,3,13,0.0,3.0
3,Jenna Allen,3,5,3,5,0,0,4,4,2,3,3,0,0,0,2,10,0.8,0.0
4,Victoria Gaines,4,4,4,4,0,0,0,0,2,2,0,0,1,1,3,8,0.0,0.0
8,School Totals,35,67,28,50,7,17,11,11,13,18,19,5,4,8,14,88,0.16417910447761194,2.375
