,Central Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Reyna Frost,16,27,15,22,1,5,1,1,3,4,2,2,0,0,2,34,0.037037037037037035,0.0
1,Micaela Kelly,8,17,4,8,4,9,4,5,1,3,5,0,0,2,2,24,0.23529411764705882,2.5
2,Presley Hudson,8,14,6,9,2,5,2,2,0,7,5,0,0,1,2,20,0.14285714285714285,5.0
3,Maddy Watters,0,3,0,2,0,1,0,0,0,0,5,0,0,2,2,0,0.0,2.5
4,Jahari Smith,1,1,1,1,0,0,0,0,0,2,0,1,2,3,1,2,0.0,0.0
7,School Totals,36,69,28,47,8,22,7,8,6,18,21,3,2,8,11,87,0.10144927536231885,2.625
