,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Laura Stockton,6,15,6,12,0,3,2,2,0,1,4,3,0,4,2,14,0.13333333333333333,1.0
1,Jill Barta,5,14,4,9,1,5,2,3,0,5,1,2,1,2,3,13,0.14285714285714285,0.5
2,Kiara Kudron,4,11,4,11,0,0,1,2,4,4,2,0,0,1,4,9,0.09090909090909091,2.0
3,Emma Stach,2,5,1,2,1,3,2,2,1,3,1,0,0,1,2,7,0.4,1.0
4,Elle Tinkle,4,9,4,8,0,1,3,4,1,5,2,1,0,1,3,11,0.3333333333333333,2.0
10,School Totals,24,71,21,53,3,18,11,15,12,24,13,7,3,13,19,62,0.15492957746478872,1.0
