,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Peyton Little,5,11,2,5,3,6,5,5,1,4,5,1,0,3,2,18,0.45454545454545453,1.6666666666666667
1,Maddie Manning,2,10,0,3,2,7,4,4,1,8,0,1,0,1,2,10,0.4,0.0
2,Vionise Pierre-Louis,6,11,6,11,0,0,5,7,2,7,1,1,9,2,4,17,0.45454545454545453,0.5
3,Gabbi Ortiz,3,6,1,2,2,4,4,4,0,1,2,1,0,1,2,12,0.6666666666666666,2.0
4,Chelsea Dungee,3,5,2,3,1,2,0,0,0,6,0,1,0,4,3,7,0.0,0.0
11,School Totals,23,53,13,30,10,23,19,21,5,27,10,5,11,17,18,75,0.3584905660377358,0.5882352941176471
