,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jackie Young,8,17,8,17,0,0,8,8,5,4,4,1,1,1,1,24,0.47058823529411764,4.0
1,Arike Ogunbowale,8,19,7,17,1,2,7,7,1,7,3,0,0,1,2,24,0.3684210526315789,3.0
2,Marina Mabrey,6,9,4,5,2,4,1,2,2,1,3,3,0,1,2,15,0.1111111111111111,3.0
3,Jessica Shepard,10,12,10,12,0,0,5,7,4,6,1,0,0,0,2,25,0.4166666666666667,0.0
4,Kristina Nelson,1,2,1,2,0,0,1,2,1,2,1,0,1,1,1,3,0.5,1.0
10,School Totals,36,69,33,61,3,8,23,28,19,26,13,5,3,6,14,98,0.3333333333333333,2.1666666666666665
