,Villanova ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jannah Tucker,7,13,4,7,3,6,2,2,0,1,1,1,0,1,1,19,0.15384615384615385,1.0
1,Kelly Jekot,7,14,5,11,2,3,0,0,2,0,2,0,0,0,3,16,0.0,0.0
2,Adrianna Hahn,4,7,1,2,3,5,0,0,0,1,1,1,0,1,4,11,0.0,1.0
3,Alex Louin,1,7,0,3,1,4,3,4,0,4,1,0,1,4,3,6,0.42857142857142855,0.25
4,Megan Quinn,2,2,1,1,1,1,1,2,0,3,2,1,0,0,3,6,0.5,0.0
13,School Totals,25,54,15,34,10,20,12,21,3,14,8,5,2,7,20,72,0.2222222222222222,1.1428571428571428
