,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Wiese,8,13,3,4,5,9,2,3,0,1,4,2,1,3,1,23,0.15384615384615385,1.3333333333333333
1,Ali Gibson,4,8,3,5,1,3,7,7,0,5,2,2,1,2,2,16,0.875,1.0
2,Ruth Hamblin,8,11,8,11,0,0,1,2,3,4,0,0,4,1,2,17,0.09090909090909091,0.0
3,Deven Hunter,1,5,1,4,0,1,1,2,1,11,4,3,2,2,4,3,0.2,2.0
4,Jamie Weisner,0,5,0,2,0,3,5,6,1,5,1,1,0,1,2,5,1.0,1.0
10,School Totals,24,54,17,35,7,19,19,26,7,30,16,9,9,12,15,74,0.35185185185185186,1.3333333333333333
