,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dana Evans,11,21,8,13,3,8,4,6,1,1,1,1,0,2,0,29,0.19047619047619047,0.5
1,Kianna Smith,5,10,4,8,1,2,0,0,2,3,2,0,0,1,1,11,0.0,2.0
2,Hailey Van Lith,4,9,4,6,0,3,0,0,2,5,1,2,0,1,0,8,0.0,1.0
3,Mykasa Robinson,1,3,1,3,0,0,0,0,2,5,1,1,0,0,1,2,0.0,0.0
4,Olivia Cochran,1,7,1,7,0,0,0,0,2,4,1,0,0,0,0,2,0.0,0.0
11,School Totals,26,63,22,49,4,14,4,6,11,23,10,6,3,7,7,60,0.06349206349206349,1.4285714285714286
