,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie McWilliams,4,6,3,4,1,2,3,4,0,1,6,1,0,2,2,12,0.5,3.0
1,Taya Corosdale,2,4,1,2,1,2,2,2,2,7,1,1,0,2,2,7,0.5,0.5
2,Kat Tudor,3,11,2,3,1,8,6,6,0,3,0,1,0,0,2,13,0.5454545454545454,0.0
3,Marie Gulich,5,9,5,9,0,0,4,4,4,8,1,0,4,0,4,14,0.4444444444444444,0.0
4,Mikayla Pivec,6,11,4,8,2,3,4,7,0,7,4,0,0,9,1,18,0.36363636363636365,0.4444444444444444
7,School Totals,21,46,16,27,5,19,19,23,6,27,13,5,4,13,12,66,0.41304347826086957,1.0
