,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Laurin Mincy,3,11,3,8,0,3,4,4,2,5,5,1,0,3,2,10,0.36363636363636365,1.6666666666666667
1,Lexie Brown,5,11,2,6,3,5,2,2,1,5,3,0,0,3,1,15,0.18181818181818182,1.0
2,Brionna Jones,6,9,6,9,0,0,2,4,1,8,0,1,4,2,2,14,0.2222222222222222,0.0
3,Shatori Walker-Kimbrough,5,12,4,9,1,3,1,1,1,6,1,0,1,1,0,12,0.08333333333333333,1.0
4,Malina Howard,1,3,1,3,0,0,0,0,1,0,1,0,0,0,2,2,0.0,0.0
10,School Totals,21,53,16,41,5,12,11,13,8,27,11,3,5,12,10,58,0.20754716981132076,0.9166666666666666
