,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ariel Massengale,7,15,5,6,2,9,0,0,0,4,1,0,0,0,3,16,0.0,0.0
1,Cierra Burdick,4,13,3,9,1,4,0,0,3,3,4,2,3,6,1,9,0.0,0.6666666666666666
2,Andraya Carter,2,10,1,6,1,4,0,0,4,0,1,2,1,1,3,5,0.0,1.0
3,Jordan Reynolds,4,12,4,9,0,3,0,0,1,6,2,2,0,1,1,8,0.0,2.0
4,Bashaara Graves,3,10,3,10,0,0,0,1,3,4,1,1,0,0,5,6,0.0,0.0
8,School Totals,22,68,18,46,4,22,0,1,15,20,9,8,4,10,16,48,0.0,0.9
