,UC Davis ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Konrad,5,14,2,8,3,6,0,0,0,1,1,0,0,0,1,13,0.0,0.0
1,Cierra Hall,4,8,0,2,4,6,2,3,2,6,4,3,1,6,4,14,0.25,0.6666666666666666
2,Mackenzie Trpcic,1,8,0,5,1,3,0,0,2,6,6,2,0,6,4,3,0.0,1.0
3,Evanne Turner,6,16,2,6,4,10,0,0,2,3,3,0,0,2,5,16,0.0,1.5
4,Sage Stobbart,2,11,1,6,1,5,0,0,1,5,0,1,5,2,1,5,0.0,0.0
10,School Totals,18,58,5,27,13,31,2,3,7,22,14,6,6,16,17,51,0.034482758620689655,0.875
