,Missouri State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brice Calip,6,17,4,14,2,3,4,5,3,4,1,3,1,1,0,18,0.23529411764705882,1.0
1,Jasmine Franklin,6,14,6,14,0,0,5,8,4,14,0,4,2,2,3,17,0.35714285714285715,0.0
2,Sydney Wilson,2,5,1,2,1,3,0,0,0,3,2,0,0,4,2,5,0.0,0.5
3,Mya Bhinhar,0,2,0,2,0,0,0,0,0,1,2,0,0,2,2,0,0.0,1.0
4,Abby Hipp,2,8,2,7,0,1,0,0,3,2,1,2,0,1,0,4,0.0,1.0
10,School Totals,25,67,19,52,6,15,14,21,17,33,10,13,5,13,11,70,0.208955223880597,0.7692307692307693
