,Central Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Presley Hudson,6,21,3,10,3,11,0,0,1,2,5,1,0,2,1,15,0.0,2.5
1,Reyna Frost,5,14,5,13,0,1,0,0,7,7,3,3,3,1,2,10,0.0,3.0
2,Cassandra Breen,4,10,2,4,2,6,1,1,1,2,1,1,0,3,0,11,0.1,0.3333333333333333
3,Micaela Kelly,2,11,0,4,2,7,2,4,1,3,6,2,0,0,2,8,0.18181818181818182,0.0
4,Tinara Moore,10,19,10,17,0,2,3,4,6,8,2,0,1,0,3,23,0.15789473684210525,0.0
8,School Totals,28,78,21,51,7,27,6,9,17,22,17,7,4,7,9,68,0.07692307692307693,2.4285714285714284
