,New Mexico State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Gia Pack,5,20,2,11,3,9,3,4,2,8,4,2,0,3,0,16,0.15,1.3333333333333333
1,Brooke Salas,6,16,4,11,2,5,4,4,4,8,5,2,0,0,4,18,0.25,0.0
2,Monique Mills,2,4,0,0,2,4,0,0,0,1,0,1,2,0,1,6,0.0,0.0
3,Adenike Aderinto,1,3,1,3,0,0,0,0,0,1,0,0,0,0,3,2,0.0,0.0
4,Dominique Mills,0,4,0,4,0,0,0,0,1,1,0,1,0,2,2,0,0.0,0.0
12,School Totals,21,77,13,51,8,26,11,14,9,22,10,8,2,8,21,61,0.14285714285714285,1.25
