,Creighton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Lamberty,1,7,1,5,0,2,2,2,0,3,7,1,0,5,0,4,0.2857142857142857,1.4
1,Audrey Faber,6,12,2,4,4,8,4,4,0,3,2,0,1,2,0,20,0.3333333333333333,1.0
2,Jaylyn Agnew,2,6,1,2,1,4,0,0,1,2,1,0,0,0,5,5,0.0,0.0
3,Bailey Norby,1,4,1,3,0,1,0,0,1,1,0,0,0,2,2,2,0.0,0.0
4,Myah Mellman,2,3,0,0,2,3,0,0,0,0,0,0,0,1,2,6,0.0,0.0
11,School Totals,21,51,10,24,11,27,11,12,5,19,18,1,1,18,21,64,0.21568627450980393,1.0
