,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
,Unnamed: 0_level_1,1,2,3,4,OT,T
0,Villanova,26,12,14,16,13,81
1,South Dakota State,11,16,15,26,6,74
