,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Japreece Dean,5,14,1,5,4,9,8,8,1,4,5,0,0,5,1,22,0.5714285714285714,1.0
1,Lindsey Corsaro,2,6,2,3,0,3,1,1,3,0,4,1,0,2,3,5,0.16666666666666666,2.0
2,Kennedy Burke,8,19,7,16,1,3,2,2,4,7,1,2,0,2,2,19,0.10526315789473684,0.5
3,Lajahna Drummer,1,8,1,6,0,2,5,6,8,4,2,1,0,0,3,7,0.625,0.0
4,Michaela Onyenwere,12,23,10,20,2,3,4,4,6,2,0,0,1,2,3,30,0.17391304347826086,0.0
8,School Totals,29,80,22,56,7,24,20,21,25,19,12,6,2,12,16,85,0.25,1.0
