,Quinnipiac ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Paula Strautmane,4,12,3,7,1,5,0,0,1,3,0,0,0,1,4,9,0.0,0.0
1,Jen Fay,5,13,3,5,2,8,0,0,1,0,1,1,0,0,2,12,0.0,0.0
2,Carly Fabbri,1,3,0,0,1,3,0,0,0,2,4,2,0,2,3,3,0.0,2.0
3,Aryn McClure,3,10,3,9,0,1,0,0,0,3,1,0,0,1,4,6,0.0,1.0
4,Edel Thornton,3,9,3,5,0,4,0,0,0,1,1,2,1,0,0,6,0.0,0.0
11,School Totals,17,56,13,32,4,24,8,9,5,11,9,7,1,5,14,46,0.14285714285714285,1.8
