,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Wiese,4,9,2,3,2,6,3,4,0,7,4,1,1,0,0,13,0.3333333333333333,0.0
1,Gabriella Hanson,6,13,5,10,1,3,0,0,0,2,2,0,0,3,3,13,0.0,0.6666666666666666
2,Mikayla Pivec,4,6,3,5,1,1,0,0,3,4,3,0,0,2,2,9,0.0,1.5
3,Marie Gulich,6,17,6,16,0,1,0,0,6,6,3,0,1,0,1,12,0.0,0.0
4,Breanna Brown,3,4,3,4,0,0,2,4,2,3,0,0,3,2,2,8,0.5,0.0
9,School Totals,26,61,22,46,4,15,8,12,14,28,14,2,6,9,10,64,0.13114754098360656,1.5555555555555556
